Actual Labels,Predicted Labels,Decision Values
31,1,0.5873933288933287
23,0,0.3546791819291819
0,1,0.5453133647398354
2,1,0.6735643523143522
123,0,0.3529248251748252
1180,0,0.25937912160938476
1,1,0.5917384421134422
53,1,0.66129686979687
67,0,0.3348684648684649
38,1,0.5953333055833057
125,0,0.3783300751536045
114,0,0.43139573408187964
14591,0,0.14580382117882118
41,0,0.4989370906870907
2,1,0.8735079365079366
82,0,0.2907234293484294
8890,0,0.1664405455655455
11,1,0.5287011877011878
104,0,0.4735873889182712
0,0,0.3003203006144182
2852,0,0.1344222444222444
204,0,0.399041559747442
38,0,0.36107040998217454
97,0,0.4493997432306256
2,1,0.6099266406967646
508,0,0.2308574897324897
520,0,0.189145632875896
220,0,0.4228030494617181
176,0,0.2201104712281183
1,1,0.687750790875791
8,1,0.5344443757996387
61,0,0.43069373359698426
5,1,0.7787262818880464
292,0,0.42256315171756353
5,1,0.6018758447434918
6,1,0.8208908175158176
47,0,0.3071597846597846
0,0,0.27685038572538573
69,1,0.5560931436984068
4,1,0.654241614594556
0,0,0.46571704684204696
5,1,0.8339043121910766
0,0,0.2682044768956533
23,0,0.4277644592249854
2,1,0.618919635919636
414,0,0.3729105200355201
21,0,0.4891428571428571
75,0,0.4676002834884412
1684,0,0.3494472471972472
1059,0,0.15095311632811628
1,0,0.4730312008253184
448,0,0.25364996188022493
418,0,0.3715820568320567
15,1,0.5420864340338023
0,0,0.10709451659451658
1,1,0.7963147522412227
459,0,0.331185051790315
0,0,0.03658369408369408
14,1,0.6429921324375658
0,0,0.03165183835772071
21,1,0.6275484237984238
0,0,0.44057156160832633
99,0,0.4946594655344655
87,0,0.46396373659879847
69,1,0.6583906510156509
608,0,0.31951887001886997
16164,0,0.17939165001665
174,0,0.3935042465704231
1,0,0.4955023987450458
71,1,0.5491999303585989
0,0,0.02098472605825547
16,1,0.6238460150960151
265,1,0.5300177322677322
0,0,0.0430052725052725
1,1,0.5357480019980019
12,1,0.5356181596181596
0,0,0.3779376840479782
9,1,0.6782975227386993
12,1,0.5646898802951433
525,0,0.29169590205116525
1315,0,0.4343218530265744
105,0,0.28747836477248234
2,1,0.6667561882561883
2363,0,0.23633674731701038
492,0,0.3041436063936065
3,1,0.7894696261341
18,0,0.4838595016095016
224,1,0.5349882976500622
6,0,0.38164089054220623
2005,0,0.40288152125652116
39,0,0.32609725731784556
40,1,0.5737767534752829
16,1,0.7479235209235209
0,0,0.14701808485632012
168,0,0.38459379509379504
0,0,0.29401506336800465
133,1,0.6568533149856681
